Training Log
================================================================================
Started training on device: cuda
Timestamp: 0821_1923
Number of epochs: 200
Model: OptimizedMeteorCNN
Batch size: 32
Initial learning rate: 0.0002
Loss function: FocalLoss
Early stopping patience: 12
================================================================================
Epoch, Train Loss, Train Accuracy, Val Loss, Val Accuracy, Learning Rate, Best Model Saved, Time
98, 0.001263, 0.996501, 0.001482, 0.995276, 0.00000100, False, 385.35
99, 0.001118, 0.997376, 0.001770, 0.993702, 0.00000100, False, 386.94
100, 0.001139, 0.996443, 0.001457, 0.995801, 0.00000100, False, 389.08
101, 0.001124, 0.996501, 0.001631, 0.995101, 0.00000100, False, 390.01
102, 0.000936, 0.997259, 0.001503, 0.995451, 0.00000100, False, 392.17
103, 0.001064, 0.996734, 0.001602, 0.994752, 0.00000100, False, 388.33
104, 0.001212, 0.995801, 0.001589, 0.994752, 0.00000100, False, 386.54
105, 0.001162, 0.996618, 0.001450, 0.995626, 0.00000100, False, 387.23
106, 0.000949, 0.996443, 0.001509, 0.995101, 0.00000100, False, 393.60
107, 0.001102, 0.997084, 0.001419, 0.995801, 0.00000100, False, 391.25
Early stopping triggered at epoch 108
================================================================================
Training completed after 108 epochs
Best validation loss: 0.001401
Final train accuracy: 0.996851
Final validation accuracy: 0.994927
Training log completed
